,word,segmentation,morph_structure
47,abuọla,a + bụ + ọ + la,"[['a'], ['b', 'ụ'], ['ọ'], ['l', 'a']]"
48,aburula,a + bụ + ru + la,"[['a'], ['b', 'ụ'], ['r', 'u'], ['l', 'a']]"
49,abuọ,abụọ,"[['a', 'b', 'ụ', 'ọ']]"
50,abịa,abịa,"[['a', 'b', 'ị', 'a']]"
51,abịa-saụt,abịa + - + saụt,"[['a', 'b', 'ị', 'a'], ['-'], ['s', 'a', 'ụ', 't']]"
52,abịabeghị,a + bịa + be + ghị,"[['a'], ['b', 'ị', 'a'], ['b', 'e'], ['gh', 'ị']]"
53,abịabu,a + bịa + bu,"[['a'], ['b', 'ị', 'a'], ['b', 'u']]"
54,abịaghị,a + bịa + ghị,"[['a'], ['b', 'ị', 'a'], ['gh', 'ị']]"
55,abịago,a + bịa + go,"[['a'], ['b', 'ị', 'a'], ['g', 'o']]"
56,abịakwala,a + bịa + kwa + la,"[['a'], ['b', 'ị', 'a'], ['kw', 'a'], ['l', 'a']]"
57,abịakwute,a + bịa + kwu + te,"[['a'], ['b', 'ị', 'a'], ['kw', 'u'], ['t', 'e']]"
58,abịakwutere,a + bịa + kwu + te + re,"[['a'], ['b', 'ị', 'a'], ['kw', 'u'], ['t', 'e'], ['r', 'e']]"
59,abịakọtala,a + bịa + kọ + ta + la,"[['a'], ['b', 'ị', 'a'], ['k', 'ọ'], ['t', 'a'], ['l', 'a']]"
60,abịakọtara,a + bịa + kọ + ta + ra,"[['a'], ['b', 'ị', 'a'], ['k', 'ọ'], ['t', 'a'], ['r', 'a']]"
61,abịala,a + bịa + la,"[['a'], ['b', 'ị', 'a'], ['l', 'a']]"
62,abịama,abịama,"[['a', 'b', 'ị', 'a', 'm', 'a']]"
63,abịara,a + bịa + ra,"[['a'], ['b', 'ị', 'a'], ['r', 'a']]"
64,abịarala,a + bịa + ra + la,"[['a'], ['b', 'ị', 'a'], ['r', 'a'], ['l', 'a']]"
65,abịarukwuola,a + bịa + ru + kwu + o + la,"[['a'], ['b', 'ị', 'a'], ['r', 'u'], ['kw', 'u'], ['o'], ['l', 'a']]"
66,abịaruo,a + bịa + ru + o,"[['a'], ['b', 'ị', 'a'], ['r', 'u'], ['o']]"
67,abịarute,a + bịa + ru + te,"[['a'], ['b', 'ị', 'a'], ['r', 'u'], ['t', 'e']]"
68,abịawa,a + bịa + wa,"[['a'], ['b', 'ị', 'a'], ['w', 'a']]"
69,abịawala,a + bịa + wa + la,"[['a'], ['b', 'ị', 'a'], ['w', 'a'], ['l', 'a']]"
70,abịawo,a + bịa + wo,"[['a'], ['b', 'ị', 'a'], ['w', 'o']]"
71,abịazila,a + bịa + zi + la,"[['a'], ['b', 'ị', 'a'], ['z', 'i'], ['l', 'a']]"
72,abịaziri,a + bịa + zi + ri,"[['a'], ['b', 'ị', 'a'], ['z', 'i'], ['r', 'i']]"
73,abịazuola,a + bịa + zu + o + la,"[['a'], ['b', 'ị', 'a'], ['z', 'u'], ['o'], ['l', 'a']]"
74,abịghị,a + bị + ghị,"[['a'], ['b', 'ị'], ['gh', 'ị']]"
75,abụ,abụ,"[['a', 'b', 'ụ']]"
76,abụa,abụọ,"[['a', 'b', 'ụ', 'ọ']]"
77,abụba,abụba,"[['a', 'b', 'ụ', 'b', 'a']]"
78,abụbeghị,a + bụ + be + ghị,"[['a'], ['b', 'ụ'], ['b', 'e'], ['gh', 'ị']]"
79,abụbu,abụbụ,"[['a', 'b', 'ụ', 'b', 'ụ']]"
80,abụbọ,abụbọ,"[['a', 'b', 'ụ', 'b', 'ọ']]"
81,abụbọ-ọrụ,abụbọ + - + ọrụ,"[['a', 'b', 'ụ', 'b', 'ọ'], ['-'], ['ọ', 'r', 'ụ']]"
82,abụbọọrụ,abụbọ + ọrụ,"[['a', 'b', 'ụ', 'b', 'ọ'], ['ọ', 'r', 'ụ']]"
83,abụbụ,abụbụ,"[['a', 'b', 'ụ', 'b', 'ụ']]"
84,abụbụorụ,abụbụ + ọrụ,"[['a', 'b', 'ụ', 'b', 'ụ'], ['ọ', 'r', 'ụ']]"
85,abụcha,a + bụ + cha,"[['a'], ['b', 'ụ'], ['ch', 'a']]"
86,abụchaghị,a + bụ + cha + ghị,"[['a'], ['b', 'ụ'], ['ch', 'a'], ['gh', 'ị']]"
87,abụchukwu,abụ + chukwu,"[['a', 'b', 'ụ'], ['ch', 'u', 'kw', 'u']]"
88,abụghi,a + bụ + ghị,"[['a'], ['b', 'ụ'], ['gh', 'ị']]"
89,abụghịdị,a + bụ + ghị + dị,"[['a'], ['b', 'ụ'], ['gh', 'ị'], ['d', 'ị']]"
90,abụghịzi,a + bụ + ghị + zi,"[['a'], ['b', 'ụ'], ['gh', 'ị'], ['z', 'i']]"
91,abụghụ,a + bụ + ghị,"[['a'], ['b', 'ụ'], ['gh', 'ị']]"
92,abụkwa,a + bụ + kwa,"[['a'], ['b', 'ụ'], ['kw', 'a']]"
93,abụkwara,a + bụ + kwa + ra,"[['a'], ['b', 'ụ'], ['kw', 'a'], ['r', 'a']]"
94,abụm,a + bụ + m,"[['a'], ['b', 'ụ'], ['m']]"
95,abụmọnụ,abụmọnụ,"[['a', 'b', 'ụ', 'm', 'ọ', 'n', 'ụ']]"
96,abụo,abụọ,"[['a', 'b', 'ụ', 'ọ']]"
97,abụrula,a + bụ + ru + la,"[['a'], ['b', 'ụ'], ['r', 'u'], ['l', 'a']]"
98,abụrịbọ,abụrịbọ,"[['a', 'b', 'ụ', 'r', 'ị', 'b', 'ọ']]"
99,abụrụ,a + bụ + rụ,"[['a'], ['b', 'ụ'], ['r', 'ụ']]"
100,abụrụgo,a + bụ + rụ + go,"[['a'], ['b', 'ụ'], ['r', 'ụ'], ['g', 'o']]"
101,abụrụgokwa,a + bụ + rụ + go + kwa,"[['a'], ['b', 'ụ'], ['r', 'ụ'], ['g', 'o'], ['kw', 'a']]"
102,abụrụkwa,a + bụ + rụ + kwa,"[['a'], ['b', 'ụ'], ['r', 'ụ'], ['kw', 'a']]"
103,abụrụkwala,a + bụ + rụ + kwa + la,"[['a'], ['b', 'ụ'], ['r', 'ụ'], ['kw', 'a'], ['l', 'a']]"
104,abụrụla,a + bụ + rụ + la,"[['a'], ['b', 'ụ'], ['r', 'ụ'], ['l', 'a']]"
105,abụrụlarị,a + bụ + rụ + la + rị,"[['a'], ['b', 'ụ'], ['r', 'ụ'], ['l', 'a'], ['r', 'ị']]"
106,abụrụna,a + bụ + rụ + na,"[['a'], ['b', 'ụ'], ['r', 'ụ'], ['n', 'a']]"
107,abụrụola,a + bụ + rụ + o + la,"[['a'], ['b', 'ụ'], ['r', 'ụ'], ['o'], ['l', 'a']]"
108,abụrụzi,a + bụ + rụ + zi,"[['a'], ['b', 'ụ'], ['r', 'ụ'], ['z', 'i']]"
109,abụrụzie,a + bụ + rụ + zi + e,"[['a'], ['b', 'ụ'], ['r', 'ụ'], ['z', 'i'], ['e']]"
110,abụsị,a + bụ + sị,"[['a'], ['b', 'ụ'], ['s', 'ị']]"
111,abụtụdịghị,a + bụ + tụ + dị + ghị,"[['a'], ['b', 'ụ'], ['t', 'ụ'], ['d', 'ị'], ['gh', 'ị']]"
112,abụzi,a + bụ + zi,"[['a'], ['b', 'ụ'], ['z', 'i']]"
113,abụzighị,a + bụ + zi + ghị,"[['a'], ['b', 'ụ'], ['z', 'i'], ['gh', 'ị']]"
114,abụzị,a + bụ + zị,"[['a'], ['b', 'ụ'], ['z', 'ị']]"
115,abụzịghi,a + bụ + zị + ghị,"[['a'], ['b', 'ụ'], ['z', 'ị'], ['gh', 'ị']]"
116,abụzịghị,a + bụ + zị + ghị,"[['a'], ['b', 'ụ'], ['z', 'ị'], ['gh', 'ị']]"
117,abụzịkwa,a + bụ + zị + kwa,"[['a'], ['b', 'ụ'], ['z', 'ị'], ['kw', 'a']]"
118,abụọ,abụọ,"[['a', 'b', 'ụ', 'ọ']]"
119,abụọla,a + bụ + ọ + la,"[['a'], ['b', 'ụ'], ['ọ'], ['l', 'a']]"
120,abụọma,abụ + ọma,"[['a', 'b', 'ụ'], ['ọ', 'm', 'a']]"
121,achaakwa,a + cha + a + kwa,"[['a'], ['ch', 'a'], ['a'], ['kw', 'a']]"
122,achaala,a + cha + a + la,"[['a'], ['ch', 'a'], ['a'], ['l', 'a']]"
123,achabie,a + cha + bi + e,"[['a'], ['ch', 'a'], ['b', 'i'], ['e']]"
124,achabiela,a + cha + bi + e + la,"[['a'], ['ch', 'a'], ['b', 'i'], ['e'], ['l', 'a']]"
125,achachi,a + cha + chi,"[['a'], ['ch', 'a'], ['ch', 'i']]"
126,achafụ,ịchafụ,"[['ị', 'ch', 'a', 'f', 'ụ']]"
127,achakeela,a + cha + ke + e + la,"[['a'], ['ch', 'a'], ['k', 'e'], ['e'], ['l', 'a']]"
128,achakeghi,a + cha + ke + ghị,"[['a'], ['ch', 'a'], ['k', 'e'], ['gh', 'ị']]"
129,achala-umuchu,achala + - + umuchu,"[['a', 'ch', 'a', 'l', 'a'], ['-'], ['u', 'm', 'u', 'ch', 'u']]"
130,achala-ụmuchu,achala + - + umuchu,"[['a', 'ch', 'a', 'l', 'a'], ['-'], ['u', 'm', 'u', 'ch', 'u']]"
131,achalla,achalla,"[['a', 'ch', 'a', 'l', 'l', 'a']]"
132,achanwụ,achanwụ,"[['a', 'ch', 'a', 'nw', 'ụ']]"
133,achanwụwo,a + cha + nwụ + wo,"[['a'], ['ch', 'a'], ['nw', 'ụ'], ['w', 'o']]"
134,achapụ,a + cha + pụ,"[['a'], ['ch', 'a'], ['p', 'ụ']]"
135,achara,achara,"[['a', 'ch', 'a', 'r', 'a']]"
136,acharakpọkuru,achara + kpọkuru,"[['a', 'ch', 'a', 'r', 'a'], ['kp', 'ọ', 'k', 'u', 'r', 'u']]"
137,achawala,a + cha + wa + la,"[['a'], ['ch', 'a'], ['w', 'a'], ['l', 'a']]"
138,achi,a + chi,"[['a'], ['ch', 'i']]"
139,achikọtaghị,a + chị + kọ + ta + ghị,"[['a'], ['ch', 'ị'], ['k', 'ọ'], ['t', 'a'], ['gh', 'ị']]"
140,achikọtala,a + chị + kọ + ta + la,"[['a'], ['ch', 'ị'], ['k', 'ọ'], ['t', 'a'], ['l', 'a']]"
141,achili,a + chi + li,"[['a'], ['ch', 'i'], ['l', 'i']]"
142,achitaghị,a + chi + ta + ghị,"[['a'], ['ch', 'i'], ['t', 'a'], ['gh', 'ị']]"
143,achọ,a + chọ,"[['a'], ['ch', 'ọ']]"
144,achọghi,a + chọ + ghị,"[['a'], ['ch', 'ọ'], ['gh', 'ị']]"
145,achọghizi,a + chọ + ghị + zi,"[['a'], ['ch', 'ọ'], ['gh', 'ị'], ['z', 'i']]"
146,achọghị,a + chọ + ghị,"[['a'], ['ch', 'ọ'], ['gh', 'ị']]"
147,achọrọ,a + chọ + rọ,"[['a'], ['ch', 'ọ'], ['r', 'ọ']]"
148,achuba,a + chụ + ba,"[['a'], ['ch', 'ụ'], ['b', 'a']]"
149,achumnta,a + chụ + m + nta,"[['a'], ['ch', 'ụ'], ['m'], ['n', 't', 'a']]"
150,achunta,a + chụ + nta,"[['a'], ['ch', 'ụ'], ['n', 't', 'a']]"
151,achutu,a + chụ + tu,"[['a'], ['ch', 'ụ'], ['t', 'u']]"
152,achutuo,a + chụ + tu + o,"[['a'], ['ch', 'ụ'], ['t', 'u'], ['o']]"
153,achuzia,a + chụ + zi + a,"[['a'], ['ch', 'ụ'], ['z', 'i'], ['a']]"
154,achuzie,a + chụ + zi + e,"[['a'], ['ch', 'ụ'], ['z', 'i'], ['e']]"
155,achị,a + chị,"[['a'], ['ch', 'ị']]"
156,achịala,a + chị + a + la,"[['a'], ['ch', 'ị'], ['a'], ['l', 'a']]"
157,achịbishọp,achịbishọp,"[['a', 'ch', 'ị', 'b', 'i', 'sh', 'ọ', 'p']]"
158,achịbishọọpụ,achịbishọp,"[['a', 'ch', 'ị', 'b', 'i', 'sh', 'ọ', 'p']]"
159,achịbuola,a + chị + bu + o + la,"[['a'], ['ch', 'ị'], ['b', 'u'], ['o'], ['l', 'a']]"
160,achịcha,achịcha,"[['a', 'ch', 'ị', 'ch', 'a']]"
161,achịchị,ọchịchị,"[['ọ', 'ch', 'ị', 'ch', 'ị']]"
162,achịgbu,a + chị + gbu,"[['a'], ['ch', 'ị'], ['gb', 'u']]"
163,achịghị,a + chị + ghị,"[['a'], ['ch', 'ị'], ['gh', 'ị']]"
164,achịkwa,a + chị + kwa,"[['a'], ['ch', 'ị'], ['kw', 'a']]"
165,achịkwụagba,achịkwụagba,"[['a', 'ch', 'ị', 'kw', 'ụ', 'a', 'gb', 'a']]"
166,achịkọbara,a + chị + kọ + ba + ra,"[['a'], ['ch', 'ị'], ['k', 'ọ'], ['b', 'a'], ['r', 'a']]"
167,achịkọbarala,a + chị + kọ + ba + ra + la,"[['a'], ['ch', 'ị'], ['k', 'ọ'], ['b', 'a'], ['r', 'a'], ['l', 'a']]"
168,achịkọta,a + chị + kọ + ta,"[['a'], ['ch', 'ị'], ['k', 'ọ'], ['t', 'a']]"
169,achịkọtala,a + chị + kọ + ta + la,"[['a'], ['ch', 'ị'], ['k', 'ọ'], ['t', 'a'], ['l', 'a']]"
170,achịkọtara,a + chị + kọ + ta + ra,"[['a'], ['ch', 'ị'], ['k', 'ọ'], ['t', 'a'], ['r', 'a']]"
171,achịla,a + chị + la,"[['a'], ['ch', 'ị'], ['l', 'a']]"
172,achịli,a + chị + li,"[['a'], ['ch', 'ị'], ['l', 'i']]"
173,achịliela,a + chị + li + e + la,"[['a'], ['ch', 'ị'], ['l', 'i'], ['e'], ['l', 'a']]"
174,achịliele,a + chị + li + e + le,"[['a'], ['ch', 'ị'], ['l', 'i'], ['e'], ['l', 'e']]"
175,chịnyere,chị + nye + re,"[['ch', 'ị'], ['ny', 'e'], ['r', 'e']]"
176,achịpụtala,a + chị + pụ + ta + la,"[['a'], ['ch', 'ị'], ['p', 'ụ'], ['t', 'a'], ['l', 'a']]"
177,achịrị,a + chị + rị,"[['a'], ['ch', 'ị'], ['r', 'ị']]"
178,achịsala,a + chị + sa + la,"[['a'], ['ch', 'ị'], ['s', 'a'], ['l', 'a']]"
179,achịtaghị,a + chị + ta + ghị,"[['a'], ['ch', 'ị'], ['t', 'a'], ['gh', 'ị']]"
180,achọ,a + chọ,"[['a'], ['ch', 'ọ']]"
181,achọba,a + chọ + ba,"[['a'], ['ch', 'ọ'], ['b', 'a']]"
182,achọbeghị,a + chọ + be + ghị,"[['a'], ['ch', 'ọ'], ['b', 'e'], ['gh', 'ị']]"
183,achọbu,a + chọ + bu,"[['a'], ['ch', 'ọ'], ['b', 'u']]"
184,achọbughị,a + chọ + bu + ghị,"[['a'], ['ch', 'ọ'], ['b', 'u'], ['gh', 'ị']]"
185,achọdịghị,a + chọ + dị + ghị,"[['a'], ['ch', 'ọ'], ['d', 'ị'], ['gh', 'ị']]"
186,achọghi,a + chọ + ghị,"[['a'], ['ch', 'ọ'], ['gh', 'ị']]"
187,achọghizi,a + chọ + ghị + zi,"[['a'], ['ch', 'ọ'], ['gh', 'ị'], ['z', 'i']]"
188,achọghị,a + chọ + ghị,"[['a'], ['ch', 'ọ'], ['gh', 'ị']]"
189,achọghịkwa,a + chọ + ghị + kwa,"[['a'], ['ch', 'ọ'], ['gh', 'ị'], ['kw', 'a']]"
190,achọghịzi,a + chọ + ghị + zi,"[['a'], ['ch', 'ọ'], ['gh', 'ị'], ['z', 'i']]"
191,achọghịzikwa,a + chọ + ghị + zi + kwa,"[['a'], ['ch', 'ọ'], ['gh', 'ị'], ['z', 'i'], ['kw', 'a']]"
192,achọghịzị,a + chọ + ghị + zị,"[['a'], ['ch', 'ọ'], ['gh', 'ị'], ['z', 'ị']]"
193,achọghọzị,a + chọ + ghọ + zị,"[['a'], ['ch', 'ọ'], ['gh', 'ọ'], ['z', 'ị']]"
194,achọkwa,a + chọ + kwa,"[['a'], ['ch', 'ọ'], ['kw', 'a']]"
195,achọkwaghị,a + chọ + kwa + ghị,"[['a'], ['ch', 'ọ'], ['kw', 'a'], ['gh', 'ị']]"
196,achọkwanụghị,a + chọ + kwa + nụ + ghị,"[['a'], ['ch', 'ọ'], ['kw', 'a'], ['n', 'ụ'], ['gh', 'ị']]"
197,achọkwaranụ,a + chọ + kwa + ra + nụ,"[['a'], ['ch', 'ọ'], ['kw', 'a'], ['r', 'a'], ['n', 'ụ']]"
198,achọnụ,a + chọ + nụ,"[['a'], ['ch', 'ọ'], ['n', 'ụ']]"
199,achọputara,a + chọ + pu + ta + ra,"[['a'], ['ch', 'ọ'], ['p', 'u'], ['t', 'a'], ['r', 'a']]"
200,achọpụta,a + chọ + pụ + ta,"[['a'], ['ch', 'ọ'], ['p', 'ụ'], ['t', 'a']]"
201,achọpụtabeghi,a + chọ + pụ + ta + be + ghị,"[['a'], ['ch', 'ọ'], ['p', 'ụ'], ['t', 'a'], ['b', 'e'], ['gh', 'ị']]"
202,achọpụtabeghị,a + chọ + pụ + ta + be + ghị,"[['a'], ['ch', 'ọ'], ['p', 'ụ'], ['t', 'a'], ['b', 'e'], ['gh', 'ị']]"
203,achọpụtago,a + chọ + pụ + ta + go,"[['a'], ['ch', 'ọ'], ['p', 'ụ'], ['t', 'a'], ['g', 'o']]"
204,achọpụtagodụ,a + chọ + pụ + ta + go + dụ,"[['a'], ['ch', 'ọ'], ['p', 'ụ'], ['t', 'a'], ['g', 'o'], ['d', 'ụ']]"
205,achọpụtakwala,a + chọ + pụ + ta + kwa + la,"[['a'], ['ch', 'ọ'], ['p', 'ụ'], ['t', 'a'], ['kw', 'a'], ['l', 'a']]"
206,achọpụtakwara,a + chọ + pụ + ta + kwa + ra,"[['a'], ['ch', 'ọ'], ['p', 'ụ'], ['t', 'a'], ['kw', 'a'], ['r', 'a']]"
207,achọpụtala,a + chọ + pụ + ta + la,"[['a'], ['ch', 'ọ'], ['p', 'ụ'], ['t', 'a'], ['l', 'a']]"
208,achọpụtanụ,a + chọ + pụ + ta + nụ,"[['a'], ['ch', 'ọ'], ['p', 'ụ'], ['t', 'a'], ['n', 'ụ']]"
209,achọpụtara,a + chọ + pụ + ta + ra,"[['a'], ['ch', 'ọ'], ['p', 'ụ'], ['t', 'a'], ['r', 'a']]"
210,achọpụtarịrị,a + chọ + pụ + ta + rị + rị,"[['a'], ['ch', 'ọ'], ['p', 'ụ'], ['t', 'a'], ['r', 'ị'], ['r', 'ị']]"
211,achọrọ,a + chọ + rọ,"[['a'], ['ch', 'ọ'], ['r', 'ọ']]"
212,achọrọla,a + chọ + rọ + la,"[['a'], ['ch', 'ọ'], ['r', 'ọ'], ['l', 'a']]"
213,achọrọwo,a + chọ + rọ + wo,"[['a'], ['ch', 'ọ'], ['r', 'ọ'], ['w', 'o']]"
214,achọsi,a + chọ + si,"[['a'], ['ch', 'ọ'], ['s', 'i']]"
215,achọta,a + chọ + ta,"[['a'], ['ch', 'ọ'], ['t', 'a']]"
216,achọtala,a + chọ + ta + la,"[['a'], ['ch', 'ọ'], ['t', 'a'], ['l', 'a']]"
217,achọtalighị,a + chọ + ta + li + ghị,"[['a'], ['ch', 'ọ'], ['t', 'a'], ['l', 'i'], ['gh', 'ị']]"
218,achọtara,a + chọ + ta + ra,"[['a'], ['ch', 'ọ'], ['t', 'a'], ['r', 'a']]"
219,achọtụghị,a + chọ + tụ + ghị,"[['a'], ['ch', 'ọ'], ['t', 'ụ'], ['gh', 'ị']]"
220,achọwa,a + chọ + wa,"[['a'], ['ch', 'ọ'], ['w', 'a']]"
221,achọzighi,a + chọ + zi + ghị,"[['a'], ['ch', 'ọ'], ['z', 'i'], ['gh', 'ị']]"
222,achọzịghị,a + chọ + zị + ghị,"[['a'], ['ch', 'ọ'], ['z', 'ị'], ['gh', 'ị']]"
223,achọọ,a + chọ + ọ,"[['a'], ['ch', 'ọ'], ['ọ']]"
224,achọọdịla,a + chọ + ọ + dị + la,"[['a'], ['ch', 'ọ'], ['ọ'], ['d', 'ị'], ['l', 'a']]"
225,achụ,a + chụ,"[['a'], ['ch', 'ụ']]"
226,achụa,a + chụ + a,"[['a'], ['ch', 'ụ'], ['a']]"
227,achụba,a + chụ + ba,"[['a'], ['ch', 'ụ'], ['b', 'a']]"
228,achụbatala,a + chụ + ba + ta + la,"[['a'], ['ch', 'ụ'], ['b', 'a'], ['t', 'a'], ['l', 'a']]"
229,achụbeghị,a + chụ + be + ghị,"[['a'], ['ch', 'ụ'], ['b', 'e'], ['gh', 'ị']]"
230,achụcha,a + chụ + cha,"[['a'], ['ch', 'ụ'], ['ch', 'a']]"
231,achụchara,a + chụ + cha + ra,"[['a'], ['ch', 'ụ'], ['ch', 'a'], ['r', 'a']]"
232,achụghị,a + chụ + ghị,"[['a'], ['ch', 'ụ'], ['gh', 'ị']]"
233,achụharị,a + chụ + ha + rị,"[['a'], ['ch', 'ụ'], ['h', 'a'], ['r', 'ị']]"
234,achụkwara,a + chụ + kwa + ra,"[['a'], ['ch', 'ụ'], ['kw', 'a'], ['r', 'a']]"
235,achụla,a + chụ + la,"[['a'], ['ch', 'ụ'], ['l', 'a']]"
236,achụlaala,a + chụ + la + a + la,"[['a'], ['ch', 'ụ'], ['l', 'a'], ['a'], ['l', 'a']]"
237,achụlata,a + chụ + la + ta,"[['a'], ['ch', 'ụ'], ['l', 'a'], ['t', 'a']]"
238,achụlatala,a + chụ + la + ta + la,"[['a'], ['ch', 'ụ'], ['l', 'a'], ['t', 'a'], ['l', 'a']]"
239,achụlatara,a + chụ + la + ta + ra,"[['a'], ['ch', 'ụ'], ['l', 'a'], ['t', 'a'], ['r', 'a']]"
240,achụm,a + chụ + m,"[['a'], ['ch', 'ụ'], ['m']]"
241,achụmata,a + chụ + ma + ta,"[['a'], ['ch', 'ụ'], ['m', 'a'], ['t', 'a']]"
242,achụmnta,a + chụ + m + nta,"[['a'], ['ch', 'ụ'], ['m'], ['n', 't', 'a']]"
243,achụmta,a + chụ + m + ta,"[['a'], ['ch', 'ụ'], ['m'], ['t', 'a']]"
244,achụnta,a + chụ + nta,"[['a'], ['ch', 'ụ'], ['n', 't', 'a']]"
245,achụola,a + chụ + o + la,"[['a'], ['ch', 'ụ'], ['o'], ['l', 'a']]"
246,achụpụ,a + chụ + pụ,"[['a'], ['ch', 'ụ'], ['p', 'ụ']]"
247,achụpụbeghị,a + chụ + pụ + be + ghị,"[['a'], ['ch', 'ụ'], ['p', 'ụ'], ['b', 'e'], ['gh', 'ị']]"
248,achụpụghị,a + chụ + pụ + ghị,"[['a'], ['ch', 'ụ'], ['p', 'ụ'], ['gh', 'ị']]"
249,achụpụla,a + chụ + pụ + la,"[['a'], ['ch', 'ụ'], ['p', 'ụ'], ['l', 'a']]"
250,achụpụru,a + chụ + pụ + ru,"[['a'], ['ch', 'ụ'], ['p', 'ụ'], ['r', 'u']]"
